iteration = 1 , objective = 0.6838089108757762, inputs = [0.95, 1.1], constraints = [0.38240745957532796]
iteration = 2 , objective = 0.6838088958119893, inputs = [0.9500000149011611, 1.1], constraints = [0.38240747796907215]
iteration = 3 , objective = 0.683808933281694, inputs = [0.95, 1.1000000149011613], constraints = [0.38240736676649073]
iteration = 4 , objective = 0.6838089614230732, inputs = [0.95, 1.1], constraints = [0.3824073430737428]
iteration = 5 , objective = 0.6838089101070669, inputs = [0.9500000149011611, 1.1], constraints = [0.38240743839189584]
iteration = 6 , objective = 0.6838089134835973, inputs = [0.95, 1.1000000149011613], constraints = [0.38240741241456755]
iteration = 7 , objective = 0.6838089062718559, inputs = [0.95, 1.1], constraints = [0.38240747023481325]
iteration = 8 , objective = 0.6838089088054737, inputs = [0.9500000149011611, 1.1], constraints = [0.38240744419424894]
iteration = 9 , objective = 0.6838089134835973, inputs = [0.95, 1.1000000149011613], constraints = [0.3824074124145693]
iteration = 10 , objective = 0.6822611534667864, inputs = [1.3, 0.9], constraints = [0.4855050280789279]
iteration = 11 , objective = 0.6653309028468611, inputs = [1.1254147900450195, 0.9997629771171319], constraints = [0.4903600728725089]
iteration = 12 , objective = 0.6687231699329408, inputs = [1.0429425660186928, 1.0468899622750327], constraints = [0.45618710159322384]
iteration = 13 , objective = 0.6738946285979699, inputs = [1.0008879450660606, 1.0709211742479654], constraints = [0.42791054036515597]
iteration = 14 , objective = 0.6738946150366515, inputs = [1.0008879599672218, 1.0709211742479654], constraints = [0.4279105549238144]
iteration = 15 , objective = 0.6738946625424571, inputs = [1.0008879450660606, 1.0709211891491266], constraints = [0.42791042161087156]
iteration = 16 , objective = 0.6738946424878733, inputs = [1.0008879450660606, 1.0709211742479654], constraints = [0.4279105082202163]
iteration = 17 , objective = 0.6738946185875393, inputs = [1.0008879599672218, 1.0709211742479654], constraints = [0.4279105354351619]
iteration = 18 , objective = 0.6738946543483595, inputs = [1.0008879450660606, 1.0709211891491266], constraints = [0.42791044057424127]
iteration = 19 , objective = 0.6738946284743135, inputs = [1.0008879450660606, 1.0709211742479654], constraints = [0.42791054065140643]
iteration = 20 , objective = 0.6738946372693004, inputs = [1.0008879599672218, 1.0709211742479654], constraints = [0.42791048961948197]
