
 Shear/q and Bending Moment/q vs Y
  Configuration: base                                                        
  Mach  =    0.830
  alpha =   10.769    CLtot =    1.325
  beta  =    0.000

  Sref  =   157.89999
  Bref  =    32.92000
   
 Surface:   1  
main_wing                               
     2Ymin/Bref =    0.00000000    
     2Ymax/Bref =    1.00000000    
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.662003         0.142341    
    0.0010  0.657696         0.141014    
    0.0090  0.649952         0.138386    
    0.0250  0.636444         0.133254    
    0.0486  0.616686         0.125856    
    0.0795  0.590927         0.116525    
    0.1172  0.559607         0.105678    
    0.1611  0.523357         0.937877E-01
    0.2105  0.482982         0.813511E-01
    0.2646  0.439398         0.688601E-01
    0.3226  0.393684         0.567700E-01
    0.3836  0.346999         0.454717E-01
    0.4455  0.301284         0.354443E-01
    0.5072  0.257323         0.268246E-01
    0.5690  0.214992         0.195365E-01
    0.6298  0.175090         0.136122E-01
    0.6886  0.138338         0.900340E-02
    0.7446  0.105350         0.559428E-02
    0.7969  0.766227E-01     0.321877E-02
    0.8446  0.525297E-01     0.168017E-02
    0.8869  0.332910E-01     0.771855E-03
    0.9233  0.189167E-01     0.297399E-03
    0.9531  0.913900E-02     0.884271E-04
    0.9759  0.337109E-02     0.172246E-04
    0.9913  0.719220E-03     0.149724E-05
    0.9990  0.427056E-04     0.207700E-07
    1.0000   0.00000          0.00000    
   
 Surface:   2  
main_wing (YDUP)                        
     2Ymin/Bref =   -1.00000000    
     2Ymax/Bref =    0.00000000    
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.661953        -0.142334    
   -0.0010  0.657645        -0.141008    
   -0.0090  0.649902        -0.138379    
   -0.0250  0.636393        -0.133249    
   -0.0486  0.616636        -0.125850    
   -0.0795  0.590876        -0.116520    
   -0.1172  0.559558        -0.105674    
   -0.1611  0.523321        -0.937850E-01
   -0.2105  0.482948        -0.813493E-01
   -0.2646  0.439363        -0.688592E-01
   -0.3226  0.393670        -0.567699E-01
   -0.3836  0.346999        -0.454717E-01
   -0.4455  0.301285        -0.354443E-01
   -0.5072  0.257324        -0.268246E-01
   -0.5690  0.214992        -0.195365E-01
   -0.6298  0.175091        -0.136122E-01
   -0.6886  0.138338        -0.900339E-02
   -0.7446  0.105350        -0.559428E-02
   -0.7969  0.766225E-01    -0.321876E-02
   -0.8446  0.525296E-01    -0.168017E-02
   -0.8869  0.332910E-01    -0.771855E-03
   -0.9233  0.189167E-01    -0.297399E-03
   -0.9531  0.913900E-02    -0.884271E-04
   -0.9759  0.337109E-02    -0.172246E-04
   -0.9913  0.719218E-03    -0.149723E-05
   -0.9990  0.427053E-04    -0.207699E-07
   -1.0000   0.00000         -0.00000    
