Xcoor Ycoor
1.0 0.0
0.9822825 -0.00025216
0.9729935 0.00060898
0.9628045 0.00138699
0.9517365 0.00203602
0.9398115 0.00248921
0.9270525 0.00268696
0.913486 0.00250521
0.8991345 0.00194202
0.886635 0.00125564
0.8776765 0.00075888
0.8646975 -0.00085973
0.8513195 -0.00279503
0.837666 -0.00500382
0.823134 -0.00757032
0.813777 -0.00906936
0.802576 -0.01089223
0.791255 -0.01274573
0.779843 -0.01473807
0.768365 -0.01659335
0.7568495 -0.0184127
0.7454085 -0.02021402
0.735302 -0.02181012
0.719635 -0.02427428
0.6993585 -0.02732913
0.6780955 -0.03034767
0.656511 -0.03320442
0.634645 -0.03586948
0.6125425 -0.03832027
0.593635 -0.04021493
0.590243 -0.04055467
0.567792 -0.04257891
0.5452325 -0.04438468
0.5226105 -0.04595561
0.4999695 -0.04729463
0.477352 -0.04839662
0.454803 -0.0492668
0.4323685 -0.04990513
0.410088 -0.05032185
0.3880095 -0.05053347
0.366171 -0.05055442
0.344621 -0.05040634
0.323398 -0.05010158
0.3025455 -0.04965668
0.2820995 -0.0490768
0.2621055 -0.04836602
0.242601 -0.04752739
0.236559 -0.04722349
0.223621 -0.04656933
0.208227 -0.0456947
0.199159 -0.04518973
0.1851085 -0.04427363
0.1698385 -0.04315498
0.1540485 -0.04185064
0.1382525 -0.04039355
0.1231865 -0.03882869
0.1139125 -0.03762533
0.104981 -0.03641335
0.092403 -0.0346823
0.082233 -0.03315345
0.0703545 -0.0311307
0.059342 -0.0289979
0.0492105 -0.0267608
0.039984 -0.02441994
0.0316795 -0.02195305
0.024315 -0.01938286
0.017902 -0.01680185
0.0124545 -0.01428682
0.007984 -0.01181107
0.004496 -0.00919229
0.001999 -0.00628226
0.0005005 -0.00313607
0.0 0.0
0.0 0.0
0.0005005 0.00319001
0.001999 0.00670008
0.004496 0.01020637
0.007984 0.01344003
0.0124545 0.01640683
0.017902 0.01916673
0.024315 0.0217482
0.0316795 0.02424422
0.039984 0.02673389
0.0492105 0.02920016
0.059342 0.03159619
0.0703545 0.03389357
0.082233 0.03610002
0.092403 0.03780606
0.104981 0.03975322
0.1139125 0.04102825
0.1231865 0.04229475
0.1382525 0.04416119
0.1540485 0.04593462
0.1698385 0.0475477
0.1851085 0.04895743
0.199159 0.05019018
0.208227 0.05088717
0.223621 0.05204336
0.236559 0.0529274
0.242601 0.05333798
0.2621055 0.05453871
0.2820995 0.05563333
0.3025455 0.05662084
0.323398 0.05749084
0.344621 0.0582382
0.366171 0.05886091
0.3880095 0.05935069
0.410088 0.05970031
0.4323685 0.05990362
0.454803 0.05995646
0.477352 0.05985268
0.4999695 0.0595871
0.5226105 0.05915765
0.5452325 0.05855614
0.567792 0.05777734
0.590243 0.05681717
0.593635 0.05664345
0.6125425 0.05567663
0.634645 0.0543619
0.656511 0.05287709
0.6780955 0.05123151
0.6993585 0.04942624
0.719635 0.04749832
0.735302 0.04584455
0.7454085 0.04472142
0.7568495 0.0434243
0.768365 0.04208189
0.779843 0.04070307
0.791255 0.03927047
0.802576 0.03780277
0.813777 0.03627755
0.823134 0.03500061
0.837666 0.0326018
0.8513195 0.03023123
0.8646975 0.02694797
0.8776765 0.02498744
0.886635 0.023049
0.8991345 0.02040998
0.913486 0.01739505
0.9270525 0.01454211
0.9398115 0.01194713
0.9517365 0.00961317
0.9628045 0.0075065
0.9729935 0.00561631
0.9822825 0.0039361
1.0 0.0
